row_index,timestamp,model_type,model_name,original_symptoms,original_diagnosis,original_diagnosis_label,forward_prompt,forward_response,predicted_diagnosis,forward_accuracy,backward_prompt,backward_response,predicted_symptoms,symptom_overlap_count,symptom_overlap_ratio,symptom_precision,symptom_recall,symptom_f1,matched_symptoms,causal_consistency_score,reverse_consistent,consistency_category
0,2025-12-16T16:00:17.426000,gemma,google/gemma-2b-it,"[""migraines headaches"", "" can't sleep"", "" whole body shaking shivering"", "" feel dizzy sometimes"", """"]",drug reaction,308,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: migraines headaches, can't sleep, whole body shaking shivering, feel dizzy sometimes

Provide only the diagnosis name.",The most likely medical diagnosis for these symptoms is migraines.,most likely medical diagnosis for these symptoms is migraines,0.0,"What are the common symptoms of most likely medical diagnosis for these symptoms is migraines?

List the symptoms as a comma-separated list.","Sure, here are the common symptoms of most likely medical diagnosis for these symptoms are migraines:

- Severe throbbing or aching pain on one side of the head
- Intense throbbing or aching pain around the eyes
- Sensitivity to light
- Sensitivity to sound
- Nausea and vomiting
- Dizziness or loss of balance
- Headache that is severe and throbbing, often with a pulsating or throbbing quality
- Sensitivity to certain foods, drinks, or medications","[""Severe throbbing or aching pain on one side of the head"", ""Intense throbbing or aching pain around the eyes"", ""Sensitivity to light"", ""Sensitivity to sound"", ""Nausea and vomiting"", ""Dizziness or loss of balance"", ""Headache that is severe and throbbing"", ""Sensitivity to certain foods""]",0,0.0,0.0,0.0,0.0,[],0.0,False,Unstable reasoning
2,2025-12-16T16:00:20.230299,gemma,google/gemma-2b-it,"[""signs symptoms primary ovarian insufficiency similar menopause estrogen deficiency"", "" include:  irregular skipped periods"", "" present years develop pregnancy stopping birth control pills difficulty pregnant hot flashes night sweats vaginal dryness dry eyes irritability difficulty concentrating decreased sexual desire  see health care provider you've missed period months more"", "" see health care provider determine cause"", "" can miss period number reasons \u2014 including pregnancy"", "" stress"", "" change diet exercise habits \u2014 it's best evaluated menstrual cycle changes"", "" don't mind periods"", "" it's advisable see provider find what's causing change"", "" low estrogen levels can lead bone loss increased risk heart disease"", """"]",premature ovarian failure,798,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: signs symptoms primary ovarian insufficiency similar menopause estrogen deficiency, include:  irregular skipped periods, present years develop pregnancy stopping birth control pills difficulty pregnant hot flashes night sweats vaginal dryness dry eyes irritability difficulty concentrating decreased sexual desire  see health care provider you've missed period months more, see health care provider determine cause, can miss period number reasons — including pregnancy, stress, change diet exercise habits — it's best evaluated menstrual cycle changes, don't mind periods, it's advisable see provider find what's causing change, low estrogen levels can lead bone loss increased risk heart disease

Provide only the diagnosis name.",The most likely medical diagnosis for this patient is primary ovarian insufficiency.,most likely medical diagnosis for this patient is primary ovarian insufficiency,0.0,"What are the common symptoms of most likely medical diagnosis for this patient is primary ovarian insufficiency?

List the symptoms as a comma-separated list.","**Answer:**

The common symptoms of primary ovarian insufficiency include:

- Irregular menstrual cycles
- Decreased libido
- Weight gain
- Fatigue
- Difficulty sleeping
- Mood changes
- Difficulty concentrating
- Infertility","[""Irregular menstrual cycles"", ""Decreased libido"", ""Weight gain"", ""Fatigue"", ""Difficulty sleeping"", ""Mood changes"", ""Difficulty concentrating"", ""Infertility""]",0,0.0,0.0,0.0,0.0,[],0.0,False,Unstable reasoning
3,2025-12-16T16:00:22.459838,gemma,google/gemma-2b-it,"[""cough"", ""high fever"", ""breathlessness"", ""family history"", ""mucoid sputum""]",bronchial asthma,149,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: cough, high fever, breathlessness, family history, mucoid sputum

Provide only the diagnosis name.",The most likely medical diagnosis for the patient with these symptoms is pneumonia.,most likely medical diagnosis for the patient with these symptoms is pneumonia,0.0,"What are the common symptoms of most likely medical diagnosis for the patient with these symptoms is pneumonia?

List the symptoms as a comma-separated list.","Sure, here are the common symptoms of most likely medical diagnosis for the patient with these symptoms is pneumonia:

- Cough
- Chest pain
- Shortness of breath
- Fever
- Chills
- Muscle aches
- Sputum production","[""Cough"", ""Chest pain"", ""Shortness of breath"", ""Fever"", ""Chills"", ""Muscle aches"", ""Sputum production""]",1,0.2,0.14285714285714285,0.2,0.16666666666666666,"[""cough""]",0.16666666666666666,False,Unstable reasoning
6,2025-12-16T16:00:27.245377,gemma,google/gemma-2b-it,"[""i've back pain"", "" cough"", "" numbness arms legs"", "" neck hurts too"", "" i've feeling dizzy balance"", """"]",cervical spondylosis,186,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: i've back pain, cough, numbness arms legs, neck hurts too, i've feeling dizzy balance

Provide only the diagnosis name.",The most likely medical diagnosis for these symptoms is Multiple Sclerosis (MS).,most likely medical diagnosis for these symptoms is Multiple Sclerosis,0.0,"What are the common symptoms of most likely medical diagnosis for these symptoms is Multiple Sclerosis?

List the symptoms as a comma-separated list.","**Disclaimer:** I am not a medical professional and cannot provide medical advice. If you have any concerns about your health, please consult a healthcare professional.

**Common symptoms of Multiple Sclerosis include:**

- Fatigue
- Weakness
- Numbness and tingling in the hands and feet
- Difficulty with balance and coordination
- Muscle spasms
- Seizures
- Vision problems
- Cognitive problems
- Speech problems","[""Fatigue"", ""Weakness"", ""Numbness and tingling in the hands and feet"", ""Difficulty with balance and coordination"", ""Muscle spasms"", ""Seizures"", ""Vision problems"", ""Cognitive problems"", ""Speech problems""]",0,0.0,0.0,0.0,0.0,[],0.0,False,Unstable reasoning
7,2025-12-16T16:00:30.663371,gemma,google/gemma-2b-it,"[""yellowish skin"", ""nausea"", ""loss of appetite"", ""yellowing of eyes"", ""family history""]",hepatitis c,466,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: yellowish skin, nausea, loss of appetite, yellowing of eyes, family history

Provide only the diagnosis name.","Yellowish skin, nausea, loss of appetite, yellowing of eyes, family history - **Liver disease**",Liver disease,0.0,"What are the common symptoms of Liver disease?

List the symptoms as a comma-separated list.","**Answer:**

Sure, here are the common symptoms of liver disease:

- Abdominal pain
- Fatigue
- Nausea and vomiting
- Loss of appetite
- Weight loss
- Pale skin
- Dark urine
- Light-colored stools
- Swelling in the hands, feet, and ankles
- Jaundice
- Dark urine
- Pale skin","[""Abdominal pain"", ""Fatigue"", ""Nausea and vomiting"", ""Loss of appetite"", ""Weight loss"", ""Pale skin"", ""Dark urine"", ""Light-colored stools"", ""Swelling in the hands"", ""Jaundice"", ""Dark urine"", ""Pale skin""]",1,0.2,0.08333333333333333,0.2,0.11764705882352941,"[""loss of appetite""]",0.11764705882352941,False,Unstable reasoning
9,2025-12-16T16:00:33.915200,gemma,google/gemma-2b-it,"[""unusual sensation (aura) may precede temporal lobe seizure"", "" acting warning"", "" who temporal lobe seizures auras"", "" who auras remembers them"", "" aura actually first part focal seizure consciousness impaired"", "" examples auras include:  sudden sense unprovoked fear joy deja vu experience \u2014 feeling what's happening happened sudden strange odor taste rising sensation abdomen"", "" similar being roller coaster  temporal lobe seizures impair ability respond others"", "" type temporal lobe seizure lasts 30 seconds minutes"", "" characteristic signs symptoms include:  loss awareness surroundings staring lip smacking repeated swallowing chewing unusual finger movements"", "" picking motions  temporal lobe seizure"", "" may have:  period confusion difficulty speaking inability recall occurred seizure unawareness seizure extreme sleepiness  extreme cases"", "" starts temporal lobe seizure evolves generalized tonic-clonic (grand mal) seizure \u2014 featuring convulsions loss consciousness"", """"]",temporal lobe seizure,971,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: unusual sensation (aura) may precede temporal lobe seizure, acting warning, who temporal lobe seizures auras, who auras remembers them, aura actually first part focal seizure consciousness impaired, examples auras include:  sudden sense unprovoked fear joy deja vu experience — feeling what's happening happened sudden strange odor taste rising sensation abdomen, similar being roller coaster  temporal lobe seizures impair ability respond others, type temporal lobe seizure lasts 30 seconds minutes, characteristic signs symptoms include:  loss awareness surroundings staring lip smacking repeated swallowing chewing unusual finger movements, picking motions  temporal lobe seizure, may have:  period confusion difficulty speaking inability recall occurred seizure unawareness seizure extreme sleepiness  extreme cases, starts temporal lobe seizure evolves generalized tonic-clonic (grand mal) seizure — featuring convulsions loss consciousness

Provide only the diagnosis name.",The most likely medical diagnosis for this patient is temporal lobe seizures.,most likely medical diagnosis for this patient is temporal lobe seizures,1.0,"What are the common symptoms of most likely medical diagnosis for this patient is temporal lobe seizures?

List the symptoms as a comma-separated list.","Sure, here's the information you requested:

The common symptoms of most likely medical diagnosis for this patient are:

- Seizures
- Headaches
- Nausea and vomiting
- Dizziness
- Confusion
- Memory loss","[""Seizures"", ""Headaches"", ""Nausea and vomiting"", ""Dizziness"", ""Confusion"", ""Memory loss""]",0,0.0,0.0,0.0,0.0,[],0.0,False,Causal failure
10,2025-12-16T16:00:36.751863,gemma,google/gemma-2b-it,"[""vomiting"", ""yellowish skin"", ""abdominal pain"", ""swelling of stomach"", ""distention of abdomen"", ""history of alcohol consumption"", ""fluid overload""]",alcoholic hepatitis,33,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: vomiting, yellowish skin, abdominal pain, swelling of stomach, distention of abdomen, history of alcohol consumption, fluid overload

Provide only the diagnosis name.",The most likely medical diagnosis for this patient is **Gastroenteritis**.,Gastroenteritis,0.0,"What are the common symptoms of Gastroenteritis?

List the symptoms as a comma-separated list.","Common symptoms of Gastroenteritis include:

- Abdominal pain
- Diarrhea
- Vomiting
- Fever
- Chills
- Muscle aches
- Headache
- Fatigue
- Loss of appetite

Gastroenteritis is a medical condition caused by viruses, bacteria, or parasites. It is a common illness that can affect people of all ages.","[""Abdominal pain"", ""Diarrhea"", ""Vomiting"", ""Fever"", ""Chills"", ""Muscle aches"", ""Headache"", ""Fatigue"", ""Loss of appetite""]",2,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.25,"[""vomiting"", ""abdominal pain""]",0.25,False,Unstable reasoning
11,2025-12-16T16:00:40.595532,gemma,google/gemma-2b-it,"[""vomiting"", ""fatigue"", ""anxiety"", ""sweating"", ""headache"", ""nausea"", ""excessive hunger"", ""drying and tingling lips"", ""slurred speech"", ""irritability"", ""palpitations""]",hypoglycemia,504,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: vomiting, fatigue, anxiety, sweating, headache, nausea, excessive hunger, drying and tingling lips, slurred speech, irritability, palpitations

Provide only the diagnosis name.",The most likely medical diagnosis for the patient with these symptoms is **COVID-19** (coronavirus disease 2019).,COVID,0.0,"What are the common symptoms of COVID?

List the symptoms as a comma-separated list.","Sure, here are the common symptoms of COVID:

- Fever
- Cough
- Shortness of breath
- Fatigue
- Muscle aches
- Headache
- Sore throat
- Loss of taste or smell
- Diarrhea
- Nausea and vomiting
- Loss of appetite
- Chills and sweats
- Body aches
- Loss of consciousness","[""Fever"", ""Cough"", ""Shortness of breath"", ""Fatigue"", ""Muscle aches"", ""Headache"", ""Sore throat"", ""Loss of taste or smell"", ""Diarrhea"", ""Nausea and vomiting"", ""Loss of appetite"", ""Chills and sweats"", ""Body aches"", ""Loss of consciousness""]",2,0.18181818181818182,0.14285714285714285,0.18181818181818182,0.16,"[""fatigue"", ""headache""]",0.16,False,Unstable reasoning
12,2025-12-16T16:00:43.847691,gemma,google/gemma-2b-it,"[""fatigue"", ""mood swings"", ""weight loss"", ""restlessness"", ""sweating"", ""diarrhoea"", ""excessive hunger"", ""muscle weakness"", ""irritability"", ""abnormal menstruation""]",hyperthyroidism,502,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: fatigue, mood swings, weight loss, restlessness, sweating, diarrhoea, excessive hunger, muscle weakness, irritability, abnormal menstruation

Provide only the diagnosis name.",The most likely medical diagnosis for this patient is **polycystic ovary syndrome (PCOS)**.,polycystic ovary syndrome,0.0,"What are the common symptoms of polycystic ovary syndrome?

List the symptoms as a comma-separated list.","Sure, here are the common symptoms of polycystic ovary syndrome:

- Irregular menstrual cycles
- Excess facial and body hair
- Acne
- Weight gain
- High blood pressure
- High cholesterol
- Insulin resistance
- Infertility
- Increased risk of certain cancers, such as ovarian cancer and breast cancer","[""Irregular menstrual cycles"", ""Excess facial and body hair"", ""Acne"", ""Weight gain"", ""High blood pressure"", ""High cholesterol"", ""Insulin resistance"", ""Infertility"", ""Increased risk of certain cancers""]",0,0.0,0.0,0.0,0.0,[],0.0,False,Unstable reasoning
15,2025-12-16T16:00:48.980030,gemma,google/gemma-2b-it,"[""itching"", ""vomiting"", ""yellowish skin"", ""nausea"", ""loss of appetite"", ""abdominal pain"", ""yellowing of eyes""]",chronic cholestasis,207,"What is the most likely medical diagnosis for a patient with these symptoms?

Symptoms: itching, vomiting, yellowish skin, nausea, loss of appetite, abdominal pain, yellowing of eyes

Provide only the diagnosis name.",The most likely medical diagnosis for these symptoms is liver failure.,most likely medical diagnosis for these symptoms is liver failure,0.0,"What are the common symptoms of most likely medical diagnosis for these symptoms is liver failure?

List the symptoms as a comma-separated list.","Sure, here's the information you requested:

The common symptoms of most likely medical diagnosis for these symptoms is liver failure include:

- Fatigue
- Weakness
- Loss of appetite
- Nausea and vomiting
- Abdominal pain
- Swelling in the abdomen
- Dark urine
- Light-colored stools
- Loss of consciousness","[""Fatigue"", ""Weakness"", ""Loss of appetite"", ""Nausea and vomiting"", ""Abdominal pain"", ""Swelling in the abdomen"", ""Dark urine"", ""Light-colored stools"", ""Loss of consciousness""]",2,0.2857142857142857,0.2222222222222222,0.2857142857142857,0.25,"[""loss of appetite"", ""abdominal pain""]",0.25,False,Unstable reasoning
